Type,Library,Test,Result
1. Parse Validation,RapidJSON (C++),pass01,true
1. Parse Validation,RapidJSON (C++),pass02,true
1. Parse Validation,RapidJSON (C++),pass03,true
1. Parse Validation,RapidJSON (C++),fail02,true
1. Parse Validation,RapidJSON (C++),fail03,true
1. Parse Validation,RapidJSON (C++),fail04,true
1. Parse Validation,RapidJSON (C++),fail05,true
1. Parse Validation,RapidJSON (C++),fail06,true
1. Parse Validation,RapidJSON (C++),fail07,true
1. Parse Validation,RapidJSON (C++),fail08,true
1. Parse Validation,RapidJSON (C++),fail09,true
1. Parse Validation,RapidJSON (C++),fail10,true
1. Parse Validation,RapidJSON (C++),fail11,true
1. Parse Validation,RapidJSON (C++),fail12,true
1. Parse Validation,RapidJSON (C++),fail13,true
1. Parse Validation,RapidJSON (C++),fail14,true
1. Parse Validation,RapidJSON (C++),fail15,true
1. Parse Validation,RapidJSON (C++),fail16,true
1. Parse Validation,RapidJSON (C++),fail17,true
1. Parse Validation,RapidJSON (C++),fail19,true
1. Parse Validation,RapidJSON (C++),fail20,true
1. Parse Validation,RapidJSON (C++),fail21,true
1. Parse Validation,RapidJSON (C++),fail22,true
1. Parse Validation,RapidJSON (C++),fail23,true
1. Parse Validation,RapidJSON (C++),fail24,true
1. Parse Validation,RapidJSON (C++),fail25,true
1. Parse Validation,RapidJSON (C++),fail26,true
1. Parse Validation,RapidJSON (C++),fail27,true
1. Parse Validation,RapidJSON (C++),fail28,true
1. Parse Validation,RapidJSON (C++),fail29,true
1. Parse Validation,RapidJSON (C++),fail30,true
1. Parse Validation,RapidJSON (C++),fail31,true
1. Parse Validation,RapidJSON (C++),fail32,true
1. Parse Validation,RapidJSON (C++),fail33,true
2. Parse Double,RapidJSON (C++),double01,true
2. Parse Double,RapidJSON (C++),double02,true
2. Parse Double,RapidJSON (C++),double03,true
2. Parse Double,RapidJSON (C++),double04,true
2. Parse Double,RapidJSON (C++),double05,true
2. Parse Double,RapidJSON (C++),double06,true
2. Parse Double,RapidJSON (C++),double07,true
2. Parse Double,RapidJSON (C++),double08,true
2. Parse Double,RapidJSON (C++),double09,true
2. Parse Double,RapidJSON (C++),double10,true
2. Parse Double,RapidJSON (C++),double11,true
2. Parse Double,RapidJSON (C++),double12,true
2. Parse Double,RapidJSON (C++),double13,true
2. Parse Double,RapidJSON (C++),double14,true
2. Parse Double,RapidJSON (C++),double15,true
2. Parse Double,RapidJSON (C++),double16,true
2. Parse Double,RapidJSON (C++),double17,true
2. Parse Double,RapidJSON (C++),double18,true
2. Parse Double,RapidJSON (C++),double19,false
2. Parse Double,RapidJSON (C++),double20,true
2. Parse Double,RapidJSON (C++),double21,false
2. Parse Double,RapidJSON (C++),double22,true
2. Parse Double,RapidJSON (C++),double23,true
2. Parse Double,RapidJSON (C++),double24,true
2. Parse Double,RapidJSON (C++),double25,true
2. Parse Double,RapidJSON (C++),double26,true
2. Parse Double,RapidJSON (C++),double27,true
2. Parse Double,RapidJSON (C++),double28,true
2. Parse Double,RapidJSON (C++),double29,false
2. Parse Double,RapidJSON (C++),double30,true
2. Parse Double,RapidJSON (C++),double31,true
2. Parse Double,RapidJSON (C++),double32,false
2. Parse Double,RapidJSON (C++),double33,true
2. Parse Double,RapidJSON (C++),double34,true
2. Parse Double,RapidJSON (C++),double35,true
2. Parse Double,RapidJSON (C++),double36,true
2. Parse Double,RapidJSON (C++),double37,false
2. Parse Double,RapidJSON (C++),double38,true
2. Parse Double,RapidJSON (C++),double39,true
2. Parse Double,RapidJSON (C++),double40,false
2. Parse Double,RapidJSON (C++),double41,true
2. Parse Double,RapidJSON (C++),double42,true
2. Parse Double,RapidJSON (C++),double43,true
2. Parse Double,RapidJSON (C++),double44,false
2. Parse Double,RapidJSON (C++),double45,false
2. Parse Double,RapidJSON (C++),double46,true
2. Parse Double,RapidJSON (C++),double47,true
2. Parse Double,RapidJSON (C++),double48,false
2. Parse Double,RapidJSON (C++),double49,true
2. Parse Double,RapidJSON (C++),double50,true
2. Parse Double,RapidJSON (C++),double51,true
2. Parse Double,RapidJSON (C++),double52,true
2. Parse Double,RapidJSON (C++),double53,true
2. Parse Double,RapidJSON (C++),double54,true
2. Parse Double,RapidJSON (C++),double55,true
2. Parse Double,RapidJSON (C++),double56,false
2. Parse Double,RapidJSON (C++),double57,false
2. Parse Double,RapidJSON (C++),double58,true
2. Parse Double,RapidJSON (C++),double59,false
2. Parse Double,RapidJSON (C++),double60,false
2. Parse Double,RapidJSON (C++),double61,false
2. Parse Double,RapidJSON (C++),double62,false
2. Parse Double,RapidJSON (C++),double63,false
2. Parse Double,RapidJSON (C++),double64,false
2. Parse Double,RapidJSON (C++),double65,false
2. Parse Double,RapidJSON (C++),double66,true
3. Parse String,RapidJSON (C++),string01,true
3. Parse String,RapidJSON (C++),string02,true
3. Parse String,RapidJSON (C++),string03,true
3. Parse String,RapidJSON (C++),string04,true
3. Parse String,RapidJSON (C++),string05,true
3. Parse String,RapidJSON (C++),string06,true
3. Parse String,RapidJSON (C++),string07,true
3. Parse String,RapidJSON (C++),string08,true
3. Parse String,RapidJSON (C++),string09,true
4. Roundtrip,RapidJSON (C++),roundtrip01,true
4. Roundtrip,RapidJSON (C++),roundtrip02,true
4. Roundtrip,RapidJSON (C++),roundtrip03,true
4. Roundtrip,RapidJSON (C++),roundtrip04,true
4. Roundtrip,RapidJSON (C++),roundtrip05,true
4. Roundtrip,RapidJSON (C++),roundtrip06,true
4. Roundtrip,RapidJSON (C++),roundtrip07,true
4. Roundtrip,RapidJSON (C++),roundtrip08,true
4. Roundtrip,RapidJSON (C++),roundtrip09,true
4. Roundtrip,RapidJSON (C++),roundtrip10,true
4. Roundtrip,RapidJSON (C++),roundtrip11,true
4. Roundtrip,RapidJSON (C++),roundtrip12,true
4. Roundtrip,RapidJSON (C++),roundtrip13,true
